BRON:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

SOURCE:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)

# Central Netherlands Temperature v6
# mean of De Bilt, Winterswijk/Hupsel, Oudenbosch/Gilze-Rijen, Gemert/Volkel, Deelen, Eindhoven
# breaks have been corrected to modern observations.
# CNT [Celsius]

YEAR,       Jan,          Feb,          Mar,          Apr,          May,          Jun,          Jul,          Aug,          Sep,          Oct,          Nov,          Dec    
 1951   3.94060       3.71155       3.75374       7.11749      11.89030      15.20150      16.92120      16.63100      15.35640       8.50954       8.23362       4.11266
 1952   2.22190       2.14225       4.80559      10.69640      13.26520      15.09970      17.40130      17.20590      11.19920       8.16502       2.77387       1.35065
 1953   0.91557       2.06311       4.80299       8.72463      13.33990      15.73310      16.87830      16.70290      13.98880      11.45320       6.90504       5.17220
 1954  -0.38192      -0.26963       5.94804       6.74488      12.83680      15.12360      14.26160      15.76850      13.54190      11.70950       6.61867       5.30777
 1955   0.14246      -0.17604       1.87052       8.55232       9.97931      14.64220      17.71590      17.91600      14.40030       9.09453       6.04309       4.52036
 1956   1.96989      -7.01659       5.41443       5.73274      12.66330      12.88360      16.46850      14.19210      14.75780       9.59725       4.78612       5.31770
 1957   3.26393       5.20168       8.37366       8.45077      10.32670      16.60720      17.76630      15.65630      12.76720      10.59720       6.20534       2.65810
 1958   2.08109       3.72569       2.25895       6.35789      12.64530      14.87090      16.81850      17.45780      15.92090      10.88440       5.15067       4.61546
 1959   1.58722       0.79626       7.15272      10.02630      13.47590      16.32450      19.07070      17.98740      15.71000      11.21290       5.26484       4.39423
 1960   2.41451       3.21652       5.84647       9.01188      13.28050      16.33350      15.33770      15.87010      13.55300      10.65820       7.45413       3.00513
 1961   1.85575       6.23734       7.10077      10.75640      11.02470      15.57410      15.50450      16.07670      17.03160      11.42030       4.80102       1.77436
 1962   3.46344       2.53893       1.96465       8.14727       9.94952      13.97980      14.82150      15.41560      12.92760      10.36270       4.13485      -0.65423
 1963  -5.46131      -3.37862       4.76658       9.16250      11.14670      15.78870      16.66630      15.37010      14.00170       9.50668       8.39240      -1.26785
